date,AAPL,AMD,CRM,FB,IBM,INTL,MMM,MSFT,MSI,NVDA,ORCL,QCOM,SAP,SYMC,TDC,VMW
2018-05-04,183.8300018310547,11.279999732971191,125.12000274658203,176.61000061035156,143.91000366210938,45.349998474121094,199.36000061035156,95.16000366210938,108.02999877929688,239.05999755859375,45.709999084472656,52.4900016784668,114.0199966430664,27.84000015258789,38.060001373291016,134.35000610351562
2018-05-07,185.16000366210938,11.59000015258789,126.97000122070312,177.97000122070312,143.22000122070312,45.970001220703125,200.25999450683594,96.22000122070312,107.30999755859375,248.67999267578125,46.06999969482422,53.0099983215332,113.98999786376953,28.440000534057617,38.459999084472656,135.82000732421875
2018-05-08,186.0500030517578,11.609999656677246,128.75,178.9199981689453,143.0,46.38999938964844,201.74000549316406,95.80999755859375,107.83999633789062,250.39999389648438,45.939998626708984,52.86000061035156,114.80000305175781,28.600000381469727,39.25,136.5
2018-05-09,187.36000061035156,11.949999809265137,129.72999572753906,182.66000366210938,142.61000061035156,46.880001068115234,203.4199981689453,96.94000244140625,105.77999877929688,255.77999877929688,46.58000183105469,53.16999816894531,115.06999969482422,28.75,39.47999954223633,138.57000732421875
2018-05-10,190.0399932861328,12.130000114440918,130.6199951171875,185.52999877929688,144.24000549316406,47.08000183105469,205.02999877929688,97.91000366210938,108.75,260.1300048828125,46.93000030517578,54.970001220703125,116.45999908447266,29.18000030517578,39.59000015258789,143.89999389648438
2018-05-11,188.58999633789062,11.949999809265137,130.6300048828125,186.99000549316406,144.13999938964844,46.790000915527344,205.16000366210938,97.69999694824219,108.37000274658203,254.52999877929688,46.81999969482422,55.22999954223633,116.18000030517578,19.520000457763672,39.47999954223633,144.0399932861328
2018-05-14,188.14999389648438,12.229999542236328,127.69000244140625,186.63999938964844,144.3000030517578,46.119998931884766,205.75999450683594,98.02999877929688,107.37999725341797,255.36000061035156,46.81999969482422,56.7400016784668,115.19000244140625,21.399999618530273,37.9900016784668,141.25
2018-05-15,186.44000244140625,12.449999809265137,128.1300048828125,184.32000732421875,143.74000549316406,46.2400016784668,202.41000366210938,97.31999969482422,107.9800033569336,245.55999755859375,46.810001373291016,55.63999938964844,113.63999938964844,22.329999923706055,38.0,141.10000610351562
2018-05-16,188.17999267578125,12.819999694824219,128.77000427246094,183.1999969482422,144.6300048828125,46.34000015258789,200.2100067138672,97.1500015258789,107.30000305175781,246.00999450683594,46.72999954223633,56.70000076293945,114.16000366210938,22.350000381469727,38.02000045776367,138.5800018310547
2018-05-17,186.99000549316406,12.819999694824219,126.05000305175781,183.75999450683594,144.5,46.400001525878906,200.36000061035156,96.18000030517578,106.25,247.7100067138672,46.540000915527344,56.95000076293945,114.55000305175781,22.31999969482422,38.86000061035156,137.50999450683594
